index,id,tweets,likes,time
28,1530961170626134016,"As you’re taking the next step in your business career, you can build the confidence to manage projects, grow sales, &amp; lead strategically with these new courses. Check out world-class offerings on Coursera from @Google, @HubspotAcademy, @Dartmouth, &amp; more. https://t.co/qtDDGXLWsf https://t.co/YnbQSbrUMW",19,2022-05-29 17:16:01
29,1530952905326350336,@Read_The_Rheum @dartmouth Congratulations 👏🏻,1,2022-05-29 16:43:11
30,1530938872003182595,@Read_The_Rheum @dartmouth Congratulations ❤️ 🎊,1,2022-05-29 15:47:25
31,1530930783992569856,@Read_The_Rheum @dartmouth Congratulations!!,1,2022-05-29 15:15:16
32,1530928778658168833,@Read_The_Rheum @dartmouth Congratulations 👏🎉 Doc !!,1,2022-05-29 15:07:18
33,1530925901025685506,Standing in the shadow of a legend. @biancaesmith12 @dartmouth @BigGreenBasebal https://t.co/FqpX9NPAmK,11,2022-05-29 14:55:52
34,1530903111795101696,"Stoked that @russelwilsonn will be speaking @dartmouth graduation!
Great foundation his wife @ciara and he have to give back to the youth of Seattle!
https://t.co/7SMiZE6P9g https://t.co/Gh2ZhLRb9X",1,2022-05-29 13:25:19
35,1530844396773687296,"This sums up a wonderful day with @DartmouthRR thankyou so much for the memories 🌊🌊🌊😍🌞

@visitsouthdevon @VisitDevon @dartmouth @Devon_Hour #daysout #family https://t.co/32k38m5XTg",8,2022-05-29 09:32:00
36,1530839739917803520,"@erikkain @SarcasticCupcak @GeorgeFromNY1 @dartmouth @GeiselMed Yeah, it's like trying to convince a brick wall they aren't made of wood.",0,2022-05-29 09:13:30
37,1530834364505812992,@djb3ar @SarcasticCupcak @GeorgeFromNY1 @dartmouth @GeiselMed This person is a troll and only worthy of muting,0,2022-05-29 08:52:08
38,1530834096162631680,"@SarcasticCupcak @djb3ar @GeorgeFromNY1 @dartmouth @GeiselMed You are actually quite stupid if you think that's the reason
So yeah I'm muting you now. Go read up this is just pathetic",0,2022-05-29 08:51:04
39,1530833943544537088,@SarcasticCupcak @djb3ar @GeorgeFromNY1 @dartmouth @GeiselMed Your bias is showing. Hard,0,2022-05-29 08:50:28
40,1530797800048537606,"@dartmouth Isn’t this college supposedly personally familiar with unconstitutional matters? 

I don’t think its very constitutional to be using made up terms to coerce through deception the support of grieving parents, of failed communities, to let that very government disarm the entire US.",1,2022-05-29 06:26:51
41,1530796906212954113,"@dartmouth What’s the difference between a 556 pistol and a 556 rifle?

One is used with two hands and can be shouldered with a stock, one is used with one hand and can be fired freehand. 

But to y’all, they are both assault rifles. 

They are trying to ban all guns.",0,2022-05-29 06:23:17
42,1530796250706083840,"@dartmouth I said it before and I’ll say it again, they are trying to take all of our guns and anyone who thinks that they’re not trying to take all of our guns doesn’t understand that assault rifles don’t exist. They want to ban all guns.",0,2022-05-29 06:20:41
43,1530795670596112385,"@dartmouth Common sense gun control is a myth as most people don’t have the common sense to know that; AR doesn’t even stand for Assault Rifle, nor has the AR-15 been available for purchase since 1999. Everything they call an AR, is actually just a regular rifle.",0,2022-05-29 06:18:23
44,1530787359507333120,@Read_The_Rheum @dartmouth Nice,1,2022-05-29 05:45:21
45,1530775125700022272,"@SarcasticCupcak @erikkain @GeorgeFromNY1 @dartmouth @GeiselMed Where is the study that shows the increased realism in graphics is a direct contributor to real-world violence as you strongly claimed above. 

I want evidence for that claim.

You provided a random study that does not in any way prove your point.",2,2022-05-29 04:56:45
46,1530774752545361920,"@SarcasticCupcak @erikkain @GeorgeFromNY1 @dartmouth @GeiselMed agression =/= real world violence. People addicted to anything will show aggression. Its a product of psychology, not video games.

how about you actually produce a study that shows that video games have a direct link to any real-world violence.

Shouldn't be too hard bud",2,2022-05-29 04:55:16
47,1530752777449877508,@Read_The_Rheum @dartmouth !!!!congratulations!!!!,1,2022-05-29 03:27:56
